isbn,title,series,year_quarter,q_num,q_since_first,trandate,marked_price,book_original_price,invoice,quantity,price,discount,disc_amt,amount,year,month,first_trandate
9789811157479,Dog Man (PB),dog_man,2020Q2,2,25,2020-04-01,79.9,69.90,30006947,40,62.7215,65,0,878.101,2020,4,2014-01-03
9789814855808,Captain Underpants #4 Colour Edition PB: Perilous Plot of Prof Poopypants,captain_underpants,2020Q2,2,25,2020-04-01,89.9,79.90,30006945,25,62.7215,65,0,548.7935,2020,4,2014-01-03
9789811157493,Dog Man (PB) #03: A Tale of Two Kitties,dog_man,2020Q2,2,25,2020-04-01,79.9,69.90,30006945,60,62.7215,65,0,1317.1515,2020,4,2014-01-03
9789811157493,Dog Man (PB) #03: A Tale of Two Kitties,dog_man,2020Q2,2,25,2020-04-01,79.9,69.90,30006947,40,62.7215,65,0,878.101,2020,4,2014-01-03
9789814885775,Dog Man (PB) #7: For Whom The Ball Rolls,dog_man,2020Q2,2,25,2020-04-01,79.9,79.90,30006945,60,62.7215,65,0,1317.1515,2020,4,2014-01-03
9789814864015,Captain Underpants #3 Color Edition: Invasion of Incredibly Naughty,captain_underpants,2020Q2,2,25,2020-04-01,89.9,79.90,30006945,25,62.7215,65,0,548.7935,2020,4,2014-01-03
9789811191008,Dog Man (PB) #05: Lord of the Fleas,dog_man,2020Q2,2,25,2020-04-01,79.9,69.90,30006945,60,62.7215,65,0,1317.1515,2020,4,2014-01-03
9789811191008,Dog Man (PB) #05: Lord of the Fleas,dog_man,2020Q2,2,25,2020-04-01,79.9,69.90,30006947,40,62.7215,65,0,878.101,2020,4,2014-01-03
9789814855815,Captain Underpants #5 Colour Edition PB: Wrath of the Wicked Wedgie Woman,captain_underpants,2020Q2,2,25,2020-04-01,89.9,79.90,30006945,25,62.7215,65,0,548.7935,2020,4,2014-01-03
9789814864008,Captain Underpants #2 Color Edition: Attack of the Talking Toilets,captain_underpants,2020Q2,2,25,2020-04-01,89.9,79.90,30006945,25,62.7215,65,0,548.7935,2020,4,2014-01-03
9789811179884,Dog Man PB Box Set (Book 1-4),dog_man,2020Q2,2,25,2020-04-01,279.0,279.00,30006945,30,219.7215,65,0,2307.0365,2020,4,2014-01-03
9789814857987,Dog Man (PB) #06: Brawl of the Wild,dog_man,2020Q2,2,25,2020-04-01,79.9,79.90,30006945,60,62.7215,65,0,1317.1515,2020,4,2014-01-03
9789814857987,Dog Man (PB) #06: Brawl of the Wild,dog_man,2020Q2,2,25,2020-04-01,79.9,79.90,30006947,40,62.7215,65,0,878.101,2020,4,2014-01-03
9781338347210,Captain Underpants #9 HB Colour: & the Terrifying Return of Tippy,captain_underpants,2020Q2,2,25,2020-05-20,129.9,99.90,30006953,20,101.9715,65,0,713.8005,2020,5,2014-01-03
9781338323214,Dog Man #8 HB: Fetch-22,dog_man,2020Q2,2,25,2020-05-20,129.9,129.90,30006953,48,101.9715,65,0,1713.1055,2020,5,2014-01-03
9789814885775,Dog Man (PB) #7: For Whom The Ball Rolls,dog_man,2020Q3,3,26,2020-07-10,79.9,79.90,30007020,48,62.7215,70,0,903.221,2020,7,2014-01-03
9789811157479,Dog Man (PB),dog_man,2020Q3,3,26,2020-07-10,79.9,69.90,30007020,96,62.7215,70,0,1806.3635,2020,7,2014-01-03
9789814864046,Captain Underpants #6 Colour Edition PB: Big Bad Battle of the Bionic Booger PT1,captain_underpants,2020Q3,3,26,2020-07-10,89.9,79.90,30007020,30,62.7215,70,0,564.4935,2020,7,2014-01-03
9789814820042,Dog Man (PB) #04: Dog Man And Cat Kid,dog_man,2020Q3,3,26,2020-07-10,79.9,69.90,30007020,95,62.7215,70,0,1787.5235,2020,7,2014-01-03
9789814864015,Captain Underpants #3 Color Edition: Invasion of Incredibly Naughty,captain_underpants,2020Q3,3,26,2020-07-10,89.9,79.90,30007020,30,62.7215,70,0,564.4935,2020,7,2014-01-03
9789811191008,Dog Man (PB) #05: Lord of the Fleas,dog_man,2020Q3,3,26,2020-07-10,79.9,69.90,30007020,96,62.7215,70,0,1806.3635,2020,7,2014-01-03
9789811157493,Dog Man (PB) #03: A Tale of Two Kitties,dog_man,2020Q3,3,26,2020-07-10,79.9,69.90,30007020,96,62.7215,70,0,1806.3635,2020,7,2014-01-03
9789811157486,Dog Man (PB) #02: Unleashed,dog_man,2020Q3,3,26,2020-07-10,79.9,69.90,30007020,96,62.7215,70,0,1806.3635,2020,7,2014-01-03
9789814857970,Captain Underpants #1 Color Edition: The Adventures of Captain Underpants,captain_underpants,2020Q3,3,26,2020-07-10,89.9,79.90,30007020,30,62.7215,70,0,564.4935,2020,7,2014-01-03
9789814906531,Dog Man (PB) #08: Fetch-22,dog_man,2020Q3,3,26,2020-07-10,89.9,89.90,30007019,144,70.5715,70,0,3048.7045,2020,7,2014-01-03
9789814855808,Captain Underpants #4 Colour Edition PB: Perilous Plot of Prof Poopypants,captain_underpants,2020Q3,3,26,2020-07-10,89.9,79.90,30007020,30,62.7215,70,0,564.4935,2020,7,2014-01-03
9789814855815,Captain Underpants #5 Colour Edition PB: Wrath of the Wicked Wedgie Woman,captain_underpants,2020Q3,3,26,2020-07-10,89.9,79.90,30007020,30,62.7215,70,0,564.4935,2020,7,2014-01-03
9789814864008,Captain Underpants #2 Color Edition: Attack of the Talking Toilets,captain_underpants,2020Q3,3,26,2020-07-10,89.9,79.90,30007020,30,62.7215,70,0,564.4935,2020,7,2014-01-03
9789814857987,Dog Man (PB) #06: Brawl of the Wild,dog_man,2020Q3,3,26,2020-07-10,79.9,79.90,30007020,96,62.7215,70,0,1806.3635,2020,7,2014-01-03
9781338535624,Dog Man #9 HB: Grime and Punishment,dog_man,2020Q3,3,26,2020-07-20,129.9,129.90,30007081,1008,101.9715,65,0,35975.5295,2020,7,2014-01-03
9781338603347,Dog Man Super Epic Collection #1-6 HB Set,dog_man,2020Q3,3,26,2020-07-29,599.0,599.00,30007058,20,470.529,70,0,2823.174,2020,7,2014-01-03
9781338262476,Captain Underpants Epic Comix Collection #2: George and Harolds,captain_underpants,2020Q3,3,26,2020-07-29,99.9,99.90,30007058,25,78.4215,70,0,588.122,2020,7,2014-01-03
9781338262469,Captain Underpants Epic Comix Collection #1: George And Harolds,captain_underpants,2020Q3,3,26,2020-07-29,99.9,99.90,30007058,25,78.4215,70,0,588.122,2020,7,2014-01-03
9781529045949,Andy Griffiths: The 130 Storey Treehouse (Signed Copy),andy_griffiths,2020Q4,4,27,2020-10-19,109.0,199.00,30007080,200,46.0,0,0,9200.0,2020,10,2014-01-03
9781529017922,Andy Griffiths: The 130 Storey Treehouse,andy_griffiths,2020Q4,4,27,2020-10-19,89.0,89.00,30007082,560,25.3,0,0,14168.0,2020,10,2014-01-03
9781338535624,Dog Man #9 HB: Grime and Punishment,dog_man,2020Q4,4,27,2020-10-22,129.9,129.90,30007250,240,101.9715,65,0,8565.606,2020,10,2014-01-03
9781447287575,Andy Griffiths: The 52-Storey Treehouse,andy_griffiths,2020Q4,4,27,2020-11-11,89.0,95.00,30007141,25,68.885,65,0,602.715,2020,11,2014-01-03
9781447279785,Andy Griffiths: The 13-Storey Treehouse (Export Edt),andy_griffiths,2020Q4,4,27,2020-11-11,89.0,95.00,30007141,25,68.885,65,0,602.715,2020,11,2014-01-03
9789814855808,Captain Underpants #4 Colour Edition PB: Perilous Plot of Prof Poopypants,captain_underpants,2020Q4,4,27,2020-11-13,89.9,79.90,30007125,20,62.7215,65,0,439.0505,2020,11,2014-01-03
9789814864015,Captain Underpants #3 Color Edition: Invasion of Incredibly Naughty,captain_underpants,2020Q4,4,27,2020-11-13,89.9,79.90,30007125,20,62.7215,65,0,439.0505,2020,11,2014-01-03
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2020Q4,4,27,2020-11-13,69.9,69.90,30007125,20,54.8715,65,0,384.1005,2020,11,2014-01-03
9789814855815,Captain Underpants #5 Colour Edition PB: Wrath of the Wicked Wedgie Woman,captain_underpants,2020Q4,4,27,2020-11-13,89.9,79.90,30007125,20,62.7215,65,0,439.0505,2020,11,2014-01-03
9789814857987,Dog Man (PB) #06: Brawl of the Wild,dog_man,2020Q4,4,27,2020-11-13,79.9,79.90,30007125,120,62.7215,65,0,2634.303,2020,11,2014-01-03
9789814864008,Captain Underpants #2 Color Edition: Attack of the Talking Toilets,captain_underpants,2020Q4,4,27,2020-11-13,89.9,79.90,30007125,20,62.7215,65,0,439.0505,2020,11,2014-01-03
9789814919975,Captain Underpants #8 Colour Edtion PB: The Preposterous,captain_underpants,2020Q4,4,27,2020-11-13,89.9,79.90,30007125,25,62.7215,65,0,548.7935,2020,11,2014-01-03
9789811157486,Dog Man (PB) #02: Unleashed,dog_man,2020Q4,4,27,2020-11-13,79.9,69.90,30007125,120,62.7215,65,0,2634.303,2020,11,2014-01-03
9789811157493,Dog Man (PB) #03: A Tale of Two Kitties,dog_man,2020Q4,4,27,2020-11-13,79.9,69.90,30007125,120,62.7215,65,0,2634.303,2020,11,2014-01-03
9789814885775,Dog Man (PB) #7: For Whom The Ball Rolls,dog_man,2020Q4,4,27,2020-11-13,79.9,79.90,30007125,80,62.7215,65,0,1756.202,2020,11,2014-01-03
9789814855792,Captain Underpants: Color Edition Boxed Set (#1-6),captain_underpants,2020Q4,4,27,2020-11-13,529.9,399.90,30007125,20,313.9215,65,0,2197.4505,2020,11,2014-01-03
9789814857970,Captain Underpants #1 Color Edition: The Adventures of Captain Underpants,captain_underpants,2020Q4,4,27,2020-11-13,89.9,79.90,30007125,20,62.7215,65,0,439.0505,2020,11,2014-01-03
9789811157479,Dog Man (PB),dog_man,2020Q4,4,27,2020-11-13,79.9,69.90,30007125,120,62.7215,65,0,2634.303,2020,11,2014-01-03
9789814906531,Dog Man (PB) #08: Fetch-22,dog_man,2020Q4,4,27,2020-11-13,89.9,89.90,30007125,120,70.5715,65,0,2964.003,2020,11,2014-01-03
9789811191008,Dog Man (PB) #05: Lord of the Fleas,dog_man,2020Q4,4,27,2020-11-13,79.9,69.90,30007125,120,62.7215,65,0,2634.303,2020,11,2014-01-03
9789814820042,Dog Man (PB) #04: Dog Man And Cat Kid,dog_man,2020Q4,4,27,2020-11-13,79.9,69.90,30007125,120,62.7215,65,0,2634.303,2020,11,2014-01-03
9781338535624,Dog Man #9 HB: Grime and Punishment,dog_man,2020Q4,4,27,2020-11-24,129.9,129.90,30007154,150,101.9715,65,0,5353.4645,2020,11,2014-01-03
9781338712766,Cat Kid Comic Club #1,cat_kid,2020Q4,4,27,2020-12-07,129.9,129.90,30007127,120,101.9715,65,0,4282.803,2020,12,2014-01-03
9781338630213,Spooky Tales of Captain Underpants: Horrifyingly Haunted HacK-a-Ween,captain_underpants,2020Q4,4,27,2020-12-23,59.9,59.90,30007160,30,47.0215,65,0,493.6865,2020,12,2014-01-03
9781338347234,Captain Underpants #10 Colour Edtion and the Revolting Revenge HB,captain_underpants,2020Q4,4,27,2020-12-23,129.9,129.90,30007160,20,101.9715,65,0,713.8005,2020,12,2014-01-03
9781338262476,Captain Underpants Epic Comix Collection #2: George and Harolds,captain_underpants,2020Q4,4,27,2020-12-23,99.9,99.90,30007160,15,78.4215,65,0,411.7325,2020,12,2014-01-03
9781338535624,Dog Man #9 HB: Grime and Punishment,dog_man,2020Q4,4,27,2020-12-23,129.9,129.90,30007160,48,101.9715,65,0,1713.1055,2020,12,2014-01-03
9781338262469,Captain Underpants Epic Comix Collection #1: George And Harolds,captain_underpants,2020Q4,4,27,2020-12-23,99.9,99.90,30007160,14,78.4215,65,0,384.2575,2020,12,2014-01-03
9781529017922,Andy Griffiths: The 130 Storey Treehouse,andy_griffiths,2021Q1,1,28,2021-01-07,89.0,89.00,30007166,439,25.3,0,0,11106.7,2021,1,2014-01-03
9781338680454,Dog Man #10 HB: Mothering Heights,dog_man,2021Q1,1,28,2021-01-18,129.9,129.90,30007213,1008,101.9715,65,0,35975.5295,2021,1,2014-01-03
9781338712766,Cat Kid Comic Club #1,cat_kid,2021Q1,1,28,2021-02-16,129.9,129.90,30007222,237,101.9715,65,0,8458.532,2021,2,2014-01-03
9789814855808,Captain Underpants #4 Colour Edition PB: Perilous Plot of Prof Poopypants,captain_underpants,2021Q2,2,29,2021-04-09,89.9,79.90,30007258,20,70.5715,65,0,494.0005,2021,4,2014-01-03
9789811107054,Captain Underpants #8: The Preposterous Plight of The Purple Potty People,captain_underpants,2021Q2,2,29,2021-04-09,59.9,69.90,30007258,15,47.0215,65,0,246.8825,2021,4,2014-01-03
9789814906531,Dog Man (PB) #08: Fetch-22,dog_man,2021Q2,2,29,2021-04-09,89.9,89.90,30007258,90,70.5715,65,0,2222.963,2021,4,2014-01-03
9789811107030,"Captain Underpants #6: and the Big, Bad Battle of the Bionic Booger Boy Part 1",captain_underpants,2021Q2,2,29,2021-04-09,59.9,69.90,30007258,15,47.0215,65,0,246.8825,2021,4,2014-01-03
9789814864046,Captain Underpants #6 Colour Edition PB: Big Bad Battle of the Bionic Booger PT1,captain_underpants,2021Q2,2,29,2021-04-09,89.9,79.90,30007258,20,70.5715,65,0,494.0005,2021,4,2014-01-03
9789814820042,Dog Man (PB) #04: Dog Man And Cat Kid,dog_man,2021Q2,2,29,2021-04-09,79.9,69.90,30007258,90,62.7215,65,0,1975.688,2021,4,2014-01-03
9789814857970,Captain Underpants #1 Color Edition: The Adventures of Captain Underpants,captain_underpants,2021Q2,2,29,2021-04-09,89.9,79.90,30007258,20,70.5715,65,0,494.0005,2021,4,2014-01-03
9789811157486,Dog Man (PB) #02: Unleashed,dog_man,2021Q2,2,29,2021-04-09,79.9,69.90,30007258,90,62.7215,65,0,1975.688,2021,4,2014-01-03
9789814919982,Captain Underpants #9 Colour Edition PB: The Terrifying Return of Tippy Tinkletro,captain_underpants,2021Q2,2,29,2021-04-09,99.9,89.90,30007258,20,70.5715,65,0,494.0005,2021,4,2014-01-03
9789814864015,Captain Underpants #3 Color Edition: Invasion of Incredibly Naughty,captain_underpants,2021Q2,2,29,2021-04-09,89.9,79.90,30007258,20,70.5715,65,0,494.0005,2021,4,2014-01-03
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2021Q2,2,29,2021-04-09,69.9,69.90,30007258,20,54.8715,65,0,384.1005,2021,4,2014-01-03
9789811191008,Dog Man (PB) #05: Lord of the Fleas,dog_man,2021Q2,2,29,2021-04-09,79.9,69.90,30007258,90,62.7215,65,0,1975.688,2021,4,2014-01-03
9789811157493,Dog Man (PB) #03: A Tale of Two Kitties,dog_man,2021Q2,2,29,2021-04-09,79.9,69.90,30007258,90,62.7215,65,0,1975.688,2021,4,2014-01-03
9789814855815,Captain Underpants #5 Colour Edition PB: Wrath of the Wicked Wedgie Woman,captain_underpants,2021Q2,2,29,2021-04-09,89.9,79.90,30007258,20,70.5715,65,0,494.0005,2021,4,2014-01-03
9789814947640,Dog Man (PB) #09: Grime & Punishment,dog_man,2021Q2,2,29,2021-04-09,89.9,89.90,30007258,90,70.5715,65,0,2222.963,2021,4,2014-01-03
9789814885775,Dog Man (PB) #7: For Whom The Ball Rolls,dog_man,2021Q2,2,29,2021-04-09,79.9,79.90,30007258,90,62.7215,65,0,1975.688,2021,4,2014-01-03
9789814857987,Dog Man (PB) #06: Brawl of the Wild,dog_man,2021Q2,2,29,2021-04-09,79.9,79.90,30007258,90,62.7215,65,0,1975.688,2021,4,2014-01-03
9789814864008,Captain Underpants #2 Color Edition: Attack of the Talking Toilets,captain_underpants,2021Q2,2,29,2021-04-09,89.9,79.90,30007258,20,70.5715,65,0,494.0005,2021,4,2014-01-03
9789811157479,Dog Man (PB),dog_man,2021Q2,2,29,2021-04-09,79.9,69.90,30007258,90,62.7215,65,0,1975.688,2021,4,2014-01-03
9789814855808,Captain Underpants #4 Colour Edition PB: Perilous Plot of Prof Poopypants,captain_underpants,2021Q2,2,29,2021-06-04,89.9,79.90,30007270,30,70.5715,75,0,529.247,2021,6,2014-01-03
9789811107054,Captain Underpants #8: The Preposterous Plight of The Purple Potty People,captain_underpants,2021Q2,2,29,2021-06-04,59.9,69.90,30007270,20,47.0215,75,0,235.1075,2021,6,2014-01-03
9789814906531,Dog Man (PB) #08: Fetch-22,dog_man,2021Q2,2,29,2021-06-04,89.9,89.90,30007270,150,70.5715,75,0,2646.392,2021,6,2014-01-03
9789814820042,Dog Man (PB) #04: Dog Man And Cat Kid,dog_man,2021Q2,2,29,2021-06-04,79.9,69.90,30007270,150,62.7215,75,0,2352.017,2021,6,2014-01-03
9789811107030,"Captain Underpants #6: and the Big, Bad Battle of the Bionic Booger Boy Part 1",captain_underpants,2021Q2,2,29,2021-06-04,59.9,69.90,30007270,30,47.0215,75,0,352.622,2021,6,2014-01-03
9789814864046,Captain Underpants #6 Colour Edition PB: Big Bad Battle of the Bionic Booger PT1,captain_underpants,2021Q2,2,29,2021-06-04,89.9,79.90,30007270,30,70.5715,75,0,529.247,2021,6,2014-01-03
9789811157486,Dog Man (PB) #02: Unleashed,dog_man,2021Q2,2,29,2021-06-04,79.9,69.90,30007270,150,62.7215,75,0,2352.017,2021,6,2014-01-03
9789814857970,Captain Underpants #1 Color Edition: The Adventures of Captain Underpants,captain_underpants,2021Q2,2,29,2021-06-04,89.9,79.90,30007270,30,70.5715,75,0,529.247,2021,6,2014-01-03
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2021Q2,2,29,2021-06-04,69.9,69.90,30007270,20,54.8715,75,0,274.3575,2021,6,2014-01-03
9789811191008,Dog Man (PB) #05: Lord of the Fleas,dog_man,2021Q2,2,29,2021-06-04,79.9,69.90,30007270,150,62.7215,75,0,2352.017,2021,6,2014-01-03
9789814919982,Captain Underpants #9 Colour Edition PB: The Terrifying Return of Tippy Tinkletro,captain_underpants,2021Q2,2,29,2021-06-04,99.9,89.90,30007270,30,70.5715,75,0,529.247,2021,6,2014-01-03
