isbn,title,publisher,publication_date,book_format,reading_age,print_length,item_weight,length,width,height,rating,number_of_reviews,price,best_sellers_rank,customer_reviews
9780603564147,Emily's New Route (Thomas & Friends),dean_&_son,2009-01-01,hardcover,,-0.3571450946524672,-0.742046769002484,-0.8842448165272755,-1.3209233038729817,-0.5158783803893674,0.9114533767202825,-0.26135567266140375,-0.3051685394220868,0.5952702225954519,0.9114533767202825
9781837959099,"Disney Princess: 5-in-1 Advent Calendar (Countdown to Christmas with stories, activities and quizzes!)",autumn,2024-09-12,paperback,,-0.3571450946524672,1.670271409115962,5.449070768241638,3.9683800208392106,-0.11952347318716397,-0.2336331600630852,-0.2588279500783378,0.7871313265387032,,-0.2336331600630852
9781445406503,Reference 5+: Children's Dinosaur Encyclopedia,parragon,2010-01-01,hardcover,,0.8314727643826637,1.4691867100427025,,,,-0.042785403932524495,-0.2571428016896271,-0.23139096329921216,1.687327423763232,-0.042785403932524495
9781409312147,Peppa Pig Goes to Hospital.,ladybird,,hardcover,,-0.3928036304235211,-0.40900023616239745,-0.8842448165272755,0.13212152206252142,-0.17614560278747862,0.33891010832859864,-0.22273768875345146,-0.22682067097301636,-0.47317507564337474,0.33891010832859864
9780736434331,"Hello, Olaf! (Disney Frozen) (Step into Reading)",penguin_random_house,2015-01-06,kindle,toddler,-0.3571450946524672,1.5920718039208057,0.00019714934571674511,-0.4237782030112885,-0.8131445607910199,0.5297578644591594,-0.14241228222491073,-0.35968559788456494,-0.8172225287532878,0.5297578644591594
9780746063101,The Old Steam Train (Mini Farmyard Tales) (Farmyard Tales Minibook Series),usborne,2005-01-28,paperback,,-0.40468980901387247,1.5920718039208057,-1.3731323353515423,-0.49532965277326396,-0.8414556255911774,0.14806235219803623,-0.2463297661954005,-0.09199704735024107,,0.14806235219803623
9781409570202,MY FIRST READING LIBRARY 50 USBORNE Titles Box Set,harper_collins,,paperback,,,,,,,,,,,
9781474937146,Lift-the-Flap My Day,usborne,2018-07-18,board book,,-0.40468980901387247,-0.2623759764214789,0.5513067160203451,1.0843061996641963,-0.0062792139865343105,0.5297578644591594,-0.24703191135736327,0.06861608297035329,-0.6499461978231945,0.5297578644591594
9781409313298,Peppa Pig: Hooray! Says Peppa Finger Puppet Book,ladybird,2012-09-06,board book,toddler,-0.41657598760422376,-0.059894855826877064,-0.34202411383126996,-0.5613771448612415,0.2202093044147247,-0.042785403932524495,-0.25433422104177605,0.027483452034591387,-0.38068715738154263,-0.042785403932524495
9781488930232,Inkredibles Invisible Ink Disney Princess,hinkler,,paperback,,,0.9553035901888163,0.46241807623411424,-0.258659472791345,0.33345356361535433,,,,,
9781509833757,The 78-Storey Treehouse (The Treehouse Books),macmillan_childrens,2017-01-01,paperback,others,1.7348223372493634,-0.31125072966845185,-0.5686901452861577,-0.9081264783231229,0.43254229041590514,0.14806235219803623,0.11667928253935093,-0.06392239448932413,-0.24382103050128093,0.14806235219803623
9781781860359,"Disney Princess Cinderella Magical Story [Hardcover] [Jan 01, 2012] Disney",parragon,2012-01-01,hardcover,,-0.30960038029106196,-0.3950360209489767,-0.026469442590152586,0.2366967178684859,-0.45925625078905263,-0.2336331600630852,-0.2557385113657016,-0.35935914843269384,,-0.2336331600630852
9780545103671,Thea Stilton and the Dragon's Code (Geronimo Stilton Special Edition),scholastic,2009-04-15,kindle,preadolescence,0.5462044782142323,1.5920718039208057,-0.555356849318223,-0.8365750285611474,-0.24692326478787216,-0.2336331600630852,-0.1452208628727618,-0.5225838743682573,-0.7941710063939512,-0.2336331600630852
9781488928239,Thomas and Friends: Thomas' Twisty Crayon Colouring Book,hinkler,,paperback,,,-0.19953700796108523,,,,,,,,
9781472352903,Shapes and Sizes Fun,parragon,,paperback,,,0.2515071434324072,,,,,,0.44501230097776245,,
