isbn,title,series,year_quarter,format,channel,q_num,q_since_first,avg_discount_rate,print_length,item_weight,length,width,height,rating,price,quantity
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2021Q1,hardcover,consignment,1,8,0.00,,,,,,,,4.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2019Q1,hardcover,retail,1,0,5.00,,,,,,,,4.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2022Q1,hardcover,consignment,1,12,0.00,,,,,,,,4.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2024Q1,hardcover,retail,1,20,0.00,,,,,,,,3.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2020Q1,hardcover,consignment,1,4,0.00,,,,,,,,3.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2019Q2,hardcover,consignment,2,1,0.00,,,,,,,,3.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2023Q2,hardcover,consignment,2,17,30.00,,,,,,,,2.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2022Q4,hardcover,consignment,4,15,0.00,,,,,,,,2.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2023Q1,hardcover,consignment,1,16,20.00,,,,,,,,2.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2022Q4,hardcover,wholesale,4,15,50.00,,,,,,,,2.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2024Q1,hardcover,bookfair - school,1,20,0.00,,,,,,,,1.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2024Q3,hardcover,retail,3,22,0.00,,,,,,,,1.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2024Q4,hardcover,bookfair - school,4,23,20.00,,,,,,,,1.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2023Q4,hardcover,retail,4,19,0.00,,,,,,,,1.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2023Q3,hardcover,retail,3,18,0.00,,,,,,,,1.00
9781338236576,Dog Man #06 HB: Brawl Of the Wild (OP),dog_man,2018Q4,hardcover,wholesale,4,0,0.59,,,,,,,,1136.00
9781338236576,Dog Man #06 HB: Brawl Of the Wild (OP),dog_man,2018Q4,hardcover,retail,4,0,0.04,,,,,,,,522.00
