isbn,title,series,year_quarter,q_num,q_since_first,trandate,marked_price,book_original_price,invoice,quantity,price,discount,disc_amt,amount,year,month,first_trandate
9789814919975,Captain Underpants #8 Colour Edtion PB: The Preposterous,captain_underpants,2022Q1,1,32,2022-03-25,89.900,79.90,30007435,20,70.572,65,0,494.001,"2,022",3,2014-01-03
9789814864008,Captain Underpants #2 Color Edition: Attack of the Talking Toilets,captain_underpants,2022Q1,1,32,2022-03-25,89.900,79.90,30007435,20,70.572,65,0,494.001,"2,022",3,2014-01-03
9781529047882,(OP) Andy Griffiths: The 143-Storey Tree,andy_griffiths,2022Q2,2,33,2022-05-04,89.000,89.00,30007445,60,80.385,65,0,"1,688.085","2,022",5,2014-01-03
9781447279785,Andy Griffiths: The 13-Storey Treehouse (Export Edt),andy_griffiths,2022Q2,2,33,2022-05-04,89.000,95.00,30007445,25,80.385,65,0,703.340,"2,022",5,2014-01-03
9780545870115,Captain Underpants: Color Collection (Book 1-3),captain_underpants,2022Q2,2,33,2022-05-17,389.000,299.00,30007439,15,235.265,65,0,"1,235.119","2,022",5,2014-01-03
9789814918008,Captain Underpants #11 Colour Edition PB & the Tyrannical Retaliation of the,captain_underpants,2022Q2,2,33,2022-06-01,99.900,89.90,30007458,40,70.572,75,0,705.715,"2,022",6,2014-01-03
9789814855815,Captain Underpants #5 Colour Edition PB: Wrath of the Wicked Wedgie Woman,captain_underpants,2022Q2,2,33,2022-06-01,89.900,79.90,30007458,40,70.572,75,0,705.715,"2,022",6,2014-01-03
9789814864008,Captain Underpants #2 Color Edition: Attack of the Talking Toilets,captain_underpants,2022Q2,2,33,2022-06-01,89.900,79.90,30007458,40,70.572,75,0,705.715,"2,022",6,2014-01-03
9789814857987,Dog Man (PB) #06: Brawl of the Wild,dog_man,2022Q2,2,33,2022-06-01,79.900,79.90,30007458,172,62.722,75,0,"2,697.025","2,022",6,2014-01-03
9789811157479,Dog Man (PB),dog_man,2022Q2,2,33,2022-06-01,79.900,69.90,30007458,210,62.722,75,0,"3,292.840","2,022",6,2014-01-03
9789811107047,"Captain Underpants #7: and the Big, Bad Battle of the Bionic Booger Boy Part 2",captain_underpants,2022Q2,2,33,2022-06-01,69.900,69.90,30007458,50,47.022,75,0,587.730,"2,022",6,2014-01-03
9789814855792,Captain Underpants: Color Edition Boxed Set (#1-6),captain_underpants,2022Q2,2,33,2022-06-01,529.900,399.90,30007458,25,313.922,75,0,"1,962.029","2,022",6,2014-01-03
9789814885775,Dog Man (PB) #7: For Whom The Ball Rolls,dog_man,2022Q2,2,33,2022-06-01,79.900,79.90,30007458,210,62.722,75,0,"3,292.840","2,022",6,2014-01-03
9789814947640,Dog Man (PB) #09: Grime & Punishment,dog_man,2022Q2,2,33,2022-06-01,89.900,89.90,30007458,210,70.572,75,0,"3,704.965","2,022",6,2014-01-03
9789814857970,Captain Underpants #1 Color Edition: The Adventures of Captain Underpants,captain_underpants,2022Q2,2,33,2022-06-01,89.900,79.90,30007458,40,70.572,75,0,705.715,"2,022",6,2014-01-03
9789811157486,Dog Man (PB) #02: Unleashed,dog_man,2022Q2,2,33,2022-06-01,79.900,69.90,30007458,210,62.722,75,0,"3,292.840","2,022",6,2014-01-03
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2022Q2,2,33,2022-06-01,69.900,69.90,30007458,50,54.872,75,0,685.855,"2,022",6,2014-01-03
9789814864015,Captain Underpants #3 Color Edition: Invasion of Incredibly Naughty,captain_underpants,2022Q2,2,33,2022-06-01,89.900,79.90,30007458,40,70.572,75,0,705.715,"2,022",6,2014-01-03
9789811191008,Dog Man (PB) #05: Lord of the Fleas,dog_man,2022Q2,2,33,2022-06-01,79.900,69.90,30007458,33,62.722,75,0,517.472,"2,022",6,2014-01-03
9789814864046,Captain Underpants #6 Colour Edition PB: Big Bad Battle of the Bionic Booger PT1,captain_underpants,2022Q2,2,33,2022-06-01,89.900,79.90,30007458,40,70.572,75,0,705.715,"2,022",6,2014-01-03
9789811107030,"Captain Underpants #6: and the Big, Bad Battle of the Bionic Booger Boy Part 1",captain_underpants,2022Q2,2,33,2022-06-01,59.900,69.90,30007458,50,47.022,75,0,587.730,"2,022",6,2014-01-03
9789814820042,Dog Man (PB) #04: Dog Man And Cat Kid,dog_man,2022Q2,2,33,2022-06-01,79.900,69.90,30007458,210,62.722,75,0,"3,292.840","2,022",6,2014-01-03
9789811157493,Dog Man (PB) #03: A Tale of Two Kitties,dog_man,2022Q2,2,33,2022-06-01,79.900,69.90,30007458,210,62.722,75,0,"3,292.840","2,022",6,2014-01-03
9789814855808,Captain Underpants #4 Colour Edition PB: Perilous Plot of Prof Poopypants,captain_underpants,2022Q2,2,33,2022-06-01,89.900,79.90,30007458,40,70.572,75,0,705.715,"2,022",6,2014-01-03
9789811107054,Captain Underpants #8: The Preposterous Plight of The Purple Potty People,captain_underpants,2022Q2,2,33,2022-06-01,59.900,69.90,30007458,50,47.022,75,0,587.730,"2,022",6,2014-01-03
9789814906531,Dog Man (PB) #08: Fetch-22,dog_man,2022Q2,2,33,2022-06-01,89.900,89.90,30007458,210,70.572,75,0,"3,704.965","2,022",6,2014-01-03
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2022Q2,2,33,2022-06-01,89.900,89.90,30007458,210,70.572,75,0,"3,704.965","2,022",6,2014-01-03
9781509885275,Andy Griffiths: The 117-Storey Treehouse,andy_griffiths,2022Q2,2,33,2022-06-28,89.000,79.00,30007507,40,80.385,68,0,"1,028.905","2,022",6,2014-01-03
9781447287599,Andy Griffiths: The 65-Storey Treehouse,andy_griffiths,2022Q2,2,33,2022-06-28,89.000,95.00,30007507,25,80.385,68,0,643.080,"2,022",6,2014-01-03
9781509833771,Andy Griffiths: The 104-Storey Treehouse,andy_griffiths,2022Q2,2,33,2022-06-28,89.000,89.00,30007507,40,80.385,68,0,"1,028.905","2,022",6,2014-01-03
9781529045932,Andy Griffiths: The 130 Storey Treehouse (Export Edt),andy_griffiths,2022Q2,2,33,2022-06-28,89.000,89.00,30007507,50,80.385,68,0,"1,286.160","2,022",6,2014-01-03
9781447287575,Andy Griffiths: The 52-Storey Treehouse,andy_griffiths,2022Q2,2,33,2022-06-28,89.000,95.00,30007507,40,80.385,68,0,"1,028.905","2,022",6,2014-01-03
9781509833757,Andy Griffiths: The 78-Storey Treehouse (Export Edt),andy_griffiths,2022Q2,2,33,2022-06-28,89.000,95.00,30007507,25,80.385,68,0,643.080,"2,022",6,2014-01-03
9781447279808,Andy Griffiths: The 26-Storey Treehouse,andy_griffiths,2022Q2,2,33,2022-06-28,89.000,95.00,30007507,40,80.385,68,0,"1,028.905","2,022",6,2014-01-03
9781529047882,(OP) Andy Griffiths: The 143-Storey Tree,andy_griffiths,2022Q2,2,33,2022-06-28,89.000,89.00,30007507,30,80.385,68,0,771.650,"2,022",6,2014-01-03
9781509839162,Andy Griffiths: The 91-Storey Treehouse (Export Edt),andy_griffiths,2022Q2,2,33,2022-06-28,89.000,95.00,30007507,25,80.385,68,0,643.080,"2,022",6,2014-01-03
